idx,mix,score
0,,Mean AUC: 0.7396 ± 0.0015
1,,Mean AUC: 0.7396 ± 0.0015
2,FE_1,Mean AUC: 0.7396 ± 0.0015
3,FE_2,Mean AUC: 0.7396 ± 0.0016
4,FE_3,Mean AUC: 0.7396 ± 0.0014
5,FE_4,Mean AUC: 0.7395 ± 0.0014
6,FE_5,Mean AUC: 0.7396 ± 0.0015
7,FE_6,Mean AUC: 0.7394 ± 0.0015
8,FE_7,Mean AUC: 0.7393 ± 0.0014
9,FE_8,Mean AUC: 0.7396 ± 0.0015
10,FE_9,Mean AUC: 0.7394 ± 0.0014
11,FE_10,Mean AUC: 0.7393 ± 0.0014
12,FE_11,Mean AUC: 0.7395 ± 0.0015
13,FE_12,Mean AUC: 0.7396 ± 0.0014
14,FE_13,Mean AUC: 0.7393 ± 0.0014
15,"FE_1, FE_2",Mean AUC: 0.7395 ± 0.0015
16,"FE_1, FE_3",Mean AUC: 0.7395 ± 0.0015
17,"FE_1, FE_4",Mean AUC: 0.7395 ± 0.0014
18,"FE_1, FE_5",Mean AUC: 0.7396 ± 0.0015
19,"FE_1, FE_6",Mean AUC: 0.7395 ± 0.0015
20,"FE_1, FE_7","오류남, 다시 해"
21,"FE_1, FE_8",Mean AUC: 0.7395 ± 0.0015
22,"FE_1, FE_9",Mean AUC: 0.7394 ± 0.0014
23,"FE_1, FE_10",Mean AUC: 0.7394 ± 0.0015
24,"FE_1, FE_11",Mean AUC: 0.7396 ± 0.0015
25,"FE_1, FE_12",Mean AUC: 0.7396 ± 0.0015
26,"FE_1, FE_13",Mean AUC: 0.7394 ± 0.0014
27,"FE_2, FE_3",Mean AUC: 0.7395 ± 0.0015
28,"FE_2, FE_4",Mean AUC: 0.7395 ± 0.0015
29,"FE_2, FE_5",Mean AUC: 0.7396 ± 0.0016
30,"FE_2, FE_6",Mean AUC: 0.7394 ± 0.0015
31,"FE_2, FE_7",Mean AUC: 0.7395 ± 0.0015
32,"FE_2, FE_8",Mean AUC: 0.7396 ± 0.0014
33,"FE_2, FE_9",Mean AUC: 0.7393 ± 0.0015
34,"FE_2, FE_10",Mean AUC: 0.7394 ± 0.0015
35,"FE_2, FE_11",Mean AUC: 0.7395 ± 0.0015
36,"FE_2, FE_12",Mean AUC: 0.7395 ± 0.0015
37,"FE_2, FE_13",Mean AUC: 0.7394 ± 0.0015
38,"FE_3, FE_4",Mean AUC: 0.7395 ± 0.0014
39,"FE_3, FE_5",Mean AUC: 0.7396 ± 0.0014
40,"FE_3, FE_6",Mean AUC: 0.7395 ± 0.0016
41,"FE_3, FE_7",Mean AUC: 0.7394 ± 0.0014
42,"FE_3, FE_8",Mean AUC: 0.7395 ± 0.0015
43,"FE_3, FE_9",Mean AUC: 0.7394 ± 0.0015
44,"FE_3, FE_10",Mean AUC: 0.7393 ± 0.0014
45,"FE_3, FE_11",Mean AUC: 0.7395 ± 0.0014
46,"FE_3, FE_12",Mean AUC: 0.7396 ± 0.0015
47,"FE_3, FE_13",Mean AUC: 0.7395 ± 0.0013
48,"FE_4, FE_5",Mean AUC: 0.7395 ± 0.0014
49,"FE_4, FE_6",Mean AUC: 0.7394 ± 0.0015
50,"FE_4, FE_7",Mean AUC: 0.7394 ± 0.0015
51,"FE_4, FE_8",Mean AUC: 0.7395 ± 0.0014
52,"FE_4, FE_9",Mean AUC: 0.7394 ± 0.0014
53,"FE_4, FE_10",Mean AUC: 0.7393 ± 0.0015
54,"FE_4, FE_11",Mean AUC: 0.7395 ± 0.0015
55,"FE_4, FE_12",Mean AUC: 0.7396 ± 0.0014
56,"FE_4, FE_13",Mean AUC: 0.7394 ± 0.0014
57,"FE_5, FE_6",Mean AUC: 0.7394 ± 0.0015
58,"FE_5, FE_7",Mean AUC: 0.7393 ± 0.0014
59,"FE_5, FE_8",Mean AUC: 0.7396 ± 0.0015
60,"FE_5, FE_9","오류남, 다시 해"
61,"FE_5, FE_10","오류남, 다시 해"
62,"FE_5, FE_11",Mean AUC: 0.7395 ± 0.0015
63,"FE_5, FE_12","오류남, 다시 해"
64,"FE_5, FE_13","오류남, 다시 해"
65,"FE_6, FE_7",Mean AUC: 0.7394 ± 0.0014
66,"FE_6, FE_8",Mean AUC: 0.7394 ± 0.0015
67,"FE_6, FE_9",Mean AUC: 0.7394 ± 0.0015
68,"FE_6, FE_10",Mean AUC: 0.7392 ± 0.0014
69,"FE_6, FE_11",Mean AUC: 0.7394 ± 0.0014
70,"FE_6, FE_12",Mean AUC: 0.7394 ± 0.0015
71,"FE_6, FE_13",Mean AUC: 0.7393 ± 0.0014
72,"FE_7, FE_8",Mean AUC: 0.7394 ± 0.0014
73,"FE_7, FE_9",Mean AUC: 0.7394 ± 0.0015
74,"FE_7, FE_10",Mean AUC: 0.7392 ± 0.0014
75,"FE_7, FE_11",Mean AUC: 0.7393 ± 0.0014
76,"FE_7, FE_12",Mean AUC: 0.7394 ± 0.0015
77,"FE_7, FE_13",Mean AUC: 0.7394 ± 0.0015

